source_system,source_header,target_table,target_field,confidence_score,is_verified,usage_count,source_file_example
FCPL_Excel,TDS,TRN_Salary,TDS_Amount,0.95,TRUE,1,Salary
FCPL_Excel,ADVANCE SALARY,TRN_Salary,AdvanceSalary,0.90,TRUE,1,Salary
FCPL_Excel,NET PAYABLE,TRN_Salary,NetPayable,0.98,TRUE,1,Salary
FCPL_Excel,PAYMENT DATE,TRN_Salary,PaymentDate,0.95,TRUE,1,Salary
FCPL_Excel,UTR NUMBER,TRN_Salary,UTRNumber,0.95,TRUE,1,Salary
FCPL_Excel,PAYMENT STATUS,TRN_Salary,PaymentStatus,0.90,TRUE,1,Salary
FCPL_Excel,SR NO,TRN_Case,ExternalID,0.85,TRUE,1,Secured_Tracker
FCPL_Excel,ENTRY DATE,TRN_Case,EntryDate,0.95,TRUE,1,Secured_Tracker
FCPL_Excel,APP NO,TRN_Case,ApplicationNumber,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,MONTH,TRN_Case,ReportMonth,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,PROFILE,TRN_Case,Profile,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,CONNECTOR NAME,TRN_Case,ConnectorID,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,BANKER NAME,TRN_Case,BankerName,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,BANKER NUMBER,TRN_Case,BankerContact,0.85,TRUE,1,DSR_BL_PL
FCPL_Excel,LOGIN AMT,TRN_Case,LoginAmount,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,SANCTION AMT,TRN_Case,SanctionAmount,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,DISBURSE AMT,TRN_Case,DisbursementAmount,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,NET AMT,TRN_Case,NetAmount,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,RATE,TRN_Case,InterestRate,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,TENURE,TRN_Case,TenureMonths,0.85,TRUE,1,DSR_BL_PL
FCPL_Excel,LOGIN DATE,TRN_Case,LoginDate,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,SANCTION DATE,TRN_Case,SanctionDate,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,DISB DATE,TRN_Case,DisbursementDate,0.95,TRUE,1,DSR_BL_PL
FCPL_Excel,REMARK,TRN_Case,Remarks,0.90,TRUE,1,DSR_BL_PL
FCPL_Excel,PRORITY,TRN_Case,Priority,0.85,TRUE,1,DSR_BL_PL
FCPL_Excel,CONNECTOR CODE,MST_Connector,ConnectorCode,0.98,TRUE,1,Connector_Master
FCPL_Excel,SR NO,MST_Connector,ExternalID,0.85,TRUE,1,Connector_Master
