staging_id,batch_guid,table_name,source_row_number,validation_status,is_promoted,source_value_json,stored_value_json
38,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,36,PASSED,True,"{""File"": ""Cols U\u2013AD (10)   Base % bucket cells (lender-side, V3.3 unified buckets).""}","{""File"": ""Cols U\u2013AD (10)   Base % bucket cells (lender-side, V3.3 unified buckets).""}"
39,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,37,PASSED,True,"{""File"": ""Cols AE\u2013AN (10)  Connector % of Lender Payout bucket cells (slab-level granular).""}","{""File"": ""Cols AE\u2013AN (10)  Connector % of Lender Payout bucket cells (slab-level granular).""}"
40,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,38,PASSED,True,"{""File"": ""Cols AO\u2013AX (10)  Effective % of Disbursal bucket cells (= Base \u00d7 Connector per bucket).""}","{""File"": ""Cols AO\u2013AX (10)  Effective % of Disbursal bucket cells (= Base \u00d7 Connector per bucket).""}"
41,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,39,PASSED,True,"{""File"": ""Cols AY        Observed Cases (FY 25-26).""}","{""File"": ""Cols AY        Observed Cases (FY 25-26).""}"
42,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,40,PASSED,True,"{""File"": ""Cols AZ\u2013BD (5)   Qualifying / PF % / I % / Qualifying Notes / Commercial.""}","{""File"": ""Cols AZ\u2013BD (5)   Qualifying / PF % / I % / Qualifying Notes / Commercial.""}"
43,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,41,PASSED,True,"{""File"": ""Col BE          Post-disbursement clawback conditions.""}","{""File"": ""Col BE          Post-disbursement clawback conditions.""}"
44,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,42,PASSED,True,"{""File"": ""Cols BF\u2013BJ (5)   Contest block.""}","{""File"": ""Cols BF\u2013BJ (5)   Contest block.""}"
45,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,43,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
46,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,44,PASSED,True,"{""File"": ""Monthly payable calculation""}","{""File"": ""Monthly payable calculation""}"
47,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,45,PASSED,True,"{""File"": ""Net payable to connector each month =""}","{""File"": ""Net payable to connector each month =""}"
48,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,46,PASSED,True,"{""File"": ""    (commission earned this month, on disbursal estimate)""}","{""File"": ""    (commission earned this month, on disbursal estimate)""}"
49,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,47,PASSED,True,"{""File"": ""    + (prior-month variance adjustment from Reconciliation Summary)""}","{""File"": ""    + (prior-month variance adjustment from Reconciliation Summary)""}"
50,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,48,PASSED,True,"{""File"": ""    \u2212 (this month's advance recovery EMI from Connector Advances)""}","{""File"": ""    \u2212 (this month's advance recovery EMI from Connector Advances)""}"
51,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,49,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
52,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,50,PASSED,True,"{""File"": ""'Commission earned' = sum over this month's disbursed cases of""}","{""File"": ""'Commission earned' = sum over this month's disbursed cases of""}"
53,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,51,PASSED,True,"{""File"": ""    (Effective % bucket cell for the case's slab) \u00d7 disbursal amount.""}","{""File"": ""    (Effective % bucket cell for the case's slab) \u00d7 disbursal amount.""}"
54,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,52,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
55,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,53,PASSED,True,"{""File"": ""Caveats""}","{""File"": ""Caveats""}"
56,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,54,PASSED,True,"{""File"": ""\u2022 Lender rate card is April 2026; tracker data is FY25-26. Rates may have shifted.""}","{""File"": ""\u2022 Lender rate card is April 2026; tracker data is FY25-26. Rates may have shifted.""}"
57,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,55,PASSED,True,"{""File"": ""\u2022 Tracker connector names normalised + matched to Bank Account Master by name.""}","{""File"": ""\u2022 Tracker connector names normalised + matched to Bank Account Master by name.""}"
58,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,56,PASSED,True,"{""File"": ""\u2022 Ratios from history clipped to [0.05, 1.0]; medians capped at 1.0.""}","{""File"": ""\u2022 Ratios from history clipped to [0.05, 1.0]; medians capped at 1.0.""}"
59,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,57,PASSED,True,"{""File"": ""\u2022 All 10 Connector % cells in a row start with the same value (the pair median);""}","{""File"": ""\u2022 All 10 Connector % cells in a row start with the same value (the pair median);""}"
60,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,58,PASSED,True,"{""File"": ""    edit per bucket to customise slab-level connector cuts.""}","{""File"": ""    edit per bucket to customise slab-level connector cuts.""}"
61,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,59,PASSED,True,"{""File"": ""\u2022 Effective % cells are LIVE FORMULAS: =IFERROR(Base \u00d7 Connector, \""NA\"").""}","{""File"": ""\u2022 Effective % cells are LIVE FORMULAS: =IFERROR(Base \u00d7 Connector, \""NA\"").""}"
62,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,60,PASSED,True,"{""File"": ""    Editing a Base or Connector cell in Excel automatically recomputes Effective.""}","{""File"": ""    Editing a Base or Connector cell in Excel automatically recomputes Effective.""}"
63,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,61,PASSED,True,"{""File"": ""    If either input is the text 'NA', Effective shows 'NA' too.""}","{""File"": ""    If either input is the text 'NA', Effective shows 'NA' too.""}"
